Entry Date,Exit Date,Trade Description,Strategies,Open Price,Close Price,"Initial Margin
Requirement",Progress,Comm & Fees,P/L
Nov 16 2023,Mar 4 2024,"Sold 2 QQQ 06/21/24 Put 346.00 @ 8.15
Bought 1 QQQ 06/21/24 Put 349.00 @ 8.68
Bought 1 QQQ 06/21/24 Put 340.00 @ 7.17
",Short Put Spread,$45.00,-$5.00,$255.00,Close,-$5.051,34.949
Nov 16 2023,Mar 21 2024,"Bought 1 QQQ 06/28/24 Put 333.00 @ 6.40
Bought 1 QQQ 06/28/24 Put 342.00 @ 7.73
Sold 2 QQQ 06/28/24 Put 339.00 @ 7.26
",Short Put Spread,$39.00,-$5.00,$261.00,Close,-$5.041,28.959
Nov 16 2023,Jan 19 2024,"Bought 1 SPY 03/28/24 Put 415.00 @ 5.03
Bought 1 SPY 03/28/24 Put 424.00 @ 6.31
Sold 2 SPY 03/28/24 Put 421.00 @ 5.83
",Short Put Spread,$32.00,-$5.00,$268.00,Close,-$5.031,21.969
Nov 16 2023,Mar 13 2024,"Sold 2 SPY 06/21/24 Put 412.00 @ 7.72
Bought 1 SPY 06/21/24 Put 415.00 @ 8.21
Bought 1 SPY 06/21/24 Put 405.00 @ 6.76
",Short Put Spread,$47.00,-$5.00,$253.00,Close,-$5.041,36.959
Dec 7 2023,Jan 9 2024,"Sold 1 EEM 02/16/24 Put 36.00 @ 0.28
Sold 1 EEM 02/16/24 Call 41.50 @ 0.26",Short Put,$54.00,-$25.00,$551.10,Close,-$2.524,26.476
Jan 3 2024,Jan 25 2024,"Sold 1 /MCLJ4 MCOJ4 03/15/24 Call 85.75 @ 0.8
Sold 1 /MCLJ4 MCOJ4 03/15/24 Put 62.00 @ 1.12",Short Put,$192.00,-$105.00,$399.00,Close,-$7.280,79.72
Jan 5 2024,Jan 18 2024,"Bought 1 XLE 02/16/24 Put 77.00 @ 0.36
Bought 1 XLE 02/16/24 Put 82.00 @ 1.13
Sold 2 XLE 02/16/24 Put 81.00 @ 0.89",Short Put Spread,$29.00,-$100.00,$271.00,Close,-$5.062,-76.062
Jan 5 2024,Jan 18 2024,Sold 1 XLU 02/16/24 Put 63.00 @ 0.74,Short Put,$74.00,-$213.00,"$1,126.00",Close,-$1.273,-140.273
Jan 5 2024,Jan 19 2024,"Bought 1 QQQ 03/15/24 Call 434.78 @ 1.62
Sold 1 QQQ 03/15/24 Call 430.00 @ 2.30
Sold 1 QQQ 03/15/24 Put 367.78 @ 2.89
Bought 1 QQQ 03/15/24 Put 363.78 @ 2.48",Short Put Spread,$109.00,-$210.00,$369.00,Close,-$5.092,-106.092
Jan 9 2024,Jan 19 2024,"Bought 1 /SIH4 SOG4 01/25/24 Call 24.200 @ 0.164
Sold 1 /SIH4 SOG4 01/25/24 Call 24.150 @ 0.173",Short Call Spread,$45.00,-$10.00,$205.00,Close,-$12.280,22.72
